"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT03320096","Evaluation of the Ulthera System for Treating Axillary Hyperhidrosis","ULT-218","Completed","Has Results","Axillary Hyperhidrosis","Device: Microfocused ultrasound with visualization","Number of Participants With Hyperhidrosis Disease Severity Scale (HDSS) Score Reduction at Day 30 Post Second Treatment|Number of Participants With HDSS Score Reduction at Day 90 Post Second Treatment|Number of Participants With Gravimetric Axillary Sweat Reduction by at Least 50 Percent (%) at Days 30 and 90 Post Second Treatment|Number of Participants Who Showed Improvement With the Starch Iodine Test at Days 30 and 90 Post Second Treatment","Ulthera, Inc|Merz North America, Inc.","All","18 Years to 75 Years   (Adult, Older Adult)","Not Applicable","20","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","M960001007|DRKS00011603","December 13, 2016","June 19, 2017","August 22, 2017","October 25, 2017","July 10, 2019","July 10, 2019","Rosenpark Research, Study Research Center; Merz Investigational Site #0490099, Darmstadt, Germany|Haut- & Laserzentrum, Merz Investigational Site #0490362, Potsdam, Germany","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/96/NCT03320096/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03320096"
12,"NCT03599349","Evaluation of the Ulthera® System and Efficacy Correlation to Morphological Differences",,"Completed","Has Results","Facial and Neck Skin Laxity","Device: Microfocused ultrasound w/ visualization","Determine if There is a Correlation Between D90 Quantitative Efficacy Results of the Eyebrow and Lower Face Region With Where the TCPs Produced During Ultherapy Treatment Make Contact With Anatomical Layers of the Skin and Underlying Tissues.|Comparison of CGAIS Ratings to Average SMAS and Average Dermal Thickness of the Treated Areas to Determine if There is or is Not a Correlation.|The Subject Will Complete a SGAIS Assessing Overall Aesthetic Improvement at Day 90 and 180 Post-treatment Which Will be Compared to Average SMAS and Average Dermal Thickness of the Treated Areas to Determine if There is or is Not a Correlation|Qualitative Assessment of Overall Aesthetic Improvement Will be Compared to the Average SMAS and Average Dermal Thickness of the Treated Areas to Determine if There is or is Not a Correlation|The Subject Will Complete a Patient Satisfaction Questionnaire at the 90 and 180 Day Follow-up Visits Which Will be Compared to Average SMAS and Average Dermal Thickness of the Treated Areas to Determine if There is or is Not a Correlation|The Depth of Frontal Region Tissue Layers Will be Compared to the Quantitative Measurements of Lift in the Eyebrow Region to Determine if There is or is Not a Correlation.|The Depth of the Temple Region Tissue Layers Will be Compared to the Quantitative Measurement of Lift the Eyebrow Region to Determine if There is or is Not a Correlation.|The Depth of Cheek Tissue Layers Will be Compared to the Quantitative Measurement of Lift in the Lower Face Regions to Determine if There is or is Not a Correlation.|The Depth of Submental Tissue Layers Will be Compared to the Quantitative Measurement of Lift in the Lower Face Regions to Determine if There is or is Not a Correlation","Ulthera, Inc|Merz North America, Inc.","All","30 Years to 55 Years   (Adult)","Not Applicable","20","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ULT-145","August 20, 2015","July 13, 2016","July 13, 2016","July 26, 2018","June 11, 2019","June 11, 2019","Clinical Testing of Beverly Hills, Beverly Hills, California, United States",,"https://ClinicalTrials.gov/show/NCT03599349"
13,"NCT03479944","Clinical Evaluation of FLACS With Combination of LenSx® and Centurion®",,"Completed","Has Results","Cataract","Procedure: FLACS|Procedure: Manual conventional surgery|Device: CENTURION® Vision System|Device: LenSx®","Cumulative Dissipated Energy (CDE)|Percent Change of Corneal Endothelial Cell Density (ECD) at Visit 5 (150-210 Days After Surgery) From Pre-Operative Visit|Percentage of Average Torsional Amplitude","Alcon Research","All","20 Years and older   (Adult, Older Adult)","Not Applicable","57","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","CTB258-P001","August 22, 2018","November 19, 2018","May 17, 2019","March 27, 2018","December 16, 2019","December 16, 2019","Alcon Investigative Site, Iizuka City, Fukuoka, Japan","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/44/NCT03479944/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/44/NCT03479944/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03479944"
14,"NCT02658851","Cold Plasma for the Reduction of Lymphoceles Following PLND",,"Completed","Has Results","Lymphoceles Following Pelvic Lymph Node Dissection","Device: J-Plasma","Number of Participants With Incidence of Lymphocele Formation","Apyx Medical|AdventHealth","Male","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","100","Industry|Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","808076","June 2016","June 27, 2017","June 27, 2017","January 20, 2016","December 2, 2020","December 2, 2020","Florida Hospital Global Robotics Institute, Celebration, Florida, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/51/NCT02658851/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT02658851"
15,"NCT00946881","Safety and Tolerability Study Using WST11 In Patients With Localized Prostate Cancer",,"Completed","Has Results","Prostate Cancer","Drug: WST 11 -mediated -VTP","Prostate Biopsy|Prostate Biopsies|Pharmacokinetic Parameters-Cmax|Percentage of Prostatic Necrosis at Day 7 as Observed on the 7-Day MRI|International Index of Erectile Functions (IIEF) Results|International Prostate Symptom Score (IPSS) Results|Pharmacokinetic Parameters-Tmax|Pharmacokinetic Parameters -T1/2","Steba Biotech S.A.","Male","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","30","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CLIN901 PCM202","July 2009","July 2012","August 2012","July 27, 2009","November 6, 2017","February 12, 2019","UCLA - Jonsson Comprehensive Cancer Center, Los Angeles, California, United States|Midtown Urology & Midtown Urology Surgical Center, Atlanta, Georgia, United States|Washington University School of Medicine- Barnes-Jewish Hospital, Saint Louis, Missouri, United States|NYU Urology Associates, New York, New York, United States|Memorial Sloan-Kettering Cancer Center, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT00946881"
16,"NCT03507036","Radio Frequency Microneedling for Suprapatellar Skin",,"Completed","Has Results","Skin Laxity","Device: Profound system","Photographic Knee Laxity and Texture Evaluation|Epidermal Thickness|Dermal Thickness|Change in Blood Flow at 0.25mm|Transepidermal Water Loss|Skin Elasticity|Change in Skin Laxity|Histological Analysis- Collagen 1|Gene Expression- Collagen 1|Epidermal Density|Histological Analysis- Collagen 3|Histological Analysis- Elastin|Gene Expression- Collagen 3|Gene Expression- Elastin|Gene Expression- Interluekin 6","University of Texas Southwestern Medical Center","All","18 Years to 75 Years   (Adult, Older Adult)","Not Applicable","20","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","STU 082017-079","March 15, 2018","January 30, 2019","May 1, 2019","April 24, 2018","December 3, 2020","December 3, 2020","University of Texas Southwestern Medical Center, Dallas, Texas, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/36/NCT03507036/Prot_004.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/36/NCT03507036/SAP_005.pdf","https://ClinicalTrials.gov/show/NCT03507036"
17,"NCT01285960","ExAblate UF V2 System for the Treatment of Symptomatic Uterine Fibroids",,"Completed","Has Results","Uterine Fibroids","Device: ExAblate Treatment UF V2","Percentage of Participants With Leg Pain or Lower Extremity Neuropathy Persisting or Occuring Greater Than 10 Days Following Treatment","InSightec","Female","18 Years to 64 Years   (Adult)","Not Applicable","108","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","UF031","May 2012","April 2016","April 2016","January 28, 2011","February 19, 2019","March 6, 2019","University of California, Los Angeles, Los Angeles, California, United States|University of California, San Francisco, San Francisco, California, United States|Stanford University Medical Center, Stanford, California, United States|Brigham and Women's Hospital, Boston, Massachusetts, United States|Mayo Clinic, Rochester, Minnesota, United States|Duke University, Durham, North Carolina, United States|Ohio Health Research Institute, Columbus, Ohio, United States|University of Virginia Health System, Charlottesville, Virginia, United States",,"https://ClinicalTrials.gov/show/NCT01285960"
18,"NCT00365989","MR Guided Focused Ultrasound Treatment of Uterine Fibroids With Enhanced Sonication",,"Completed","Has Results","Uterine Leiomyoma|Uterine Fibroids","Device: ExAblate Enhanced Sonication","Number of Adverse Events","InSightec","Female","18 Years and older   (Adult, Older Adult)","Phase 3","50","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","UF018","October 2006","August 2008","August 2008","August 18, 2006","February 5, 2019","February 5, 2019","University of California at San Diego, La Jolla, California, United States|Lahey Clinic, Burlington, Massachusetts, United States|KNI, Kalamazoo, Michigan, United States|Cornell Vascular, New York, New York, United States|Toronto General Hospital, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT00365989"
19,"NCT01222494","Healthy Bodies, Healthy Kids",,"Completed","Has Results","Child Mental Disorders|Obesity|Metabolic Syndrome","Behavioral: Behavioral Weight Loss|Behavioral: Diet and Exercise Education","DEXA-measured Adiposity|Proton Density Fat Fraction (PDFF)|Carotid Artery Intima Media Thickness (CIMT)","Washington University School of Medicine|National Institute of Mental Health (NIMH)","All","6 Years to 18 Years   (Child, Adult)","Not Applicable","47","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","10-0425|K23MH092435","July 2011","March 2017","March 2017","October 18, 2010","October 15, 2018","October 15, 2018","Washington University School of Medicine, Saint Louis, Missouri, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/94/NCT01222494/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT01222494"
20,"NCT02369848","Shockwave Lithoplasty DISRUPT Trial for PAD (DISRUPT PAD 2)",,"Completed","Has Results","Peripheral Arterial Disease","Device: Shockwave Lithoplasty System","Effectiveness Endpoint Defined as Number of Participants withTarget Lesion Patency by Duplex Ultrasound Defined as Freedom From ≥50% Restenosis|Safety Endpoint Defined as Composite of New-onset Major Adverse Events (MAEs)|Safety Measured by Number of Participants With Freedom From Major Adverse Events (MAEs)|Secondary Endpoint of Acute Procedural Success Achieved in Number of Participants|Secondary Patency Measured by Number of Participants With Target Lesion Patency by Duplex Ultrasound Defined as Freedom From ≥50% Restenosis.|Secondary Patency Measured by Number of Participants With Target Lesion Patency (Without Adjunctive PTA) by Duplex Ultrasound Defined as Freedom From ≥50% Restenosis.|Clinical Success - Improvement of Ankle-Brachial Index (ABI) of the Target Limb.|Clinical Success - Improvement of Ankle-Brachial (ABI) of the Target Limb.|Clinical Success","Shockwave Medical, Inc.","All","18 Years and older   (Adult, Older Adult)","Not Applicable","60","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TD 0232","June 2015","December 2015","December 2016","February 24, 2015","April 18, 2018","April 18, 2018","Universitätsklinikum LKH Graz, Graz, Austria|Hanusch Krankenhaus, Vienna, Austria|Medizinische Universitat Wien, Vienna, Austria|Universitäts-Herzzentrum Freiburg & Bad Krozingen, Bad Krozingen, Germany|University Leipzig Medical Centre, Leipzig, Germany|St. Franziskus Hospital, Munster, Germany|RoMed Klinikum Rosenheim, Rosenheim, Germany|Auckland City Hospital, Auckland, New Zealand",,"https://ClinicalTrials.gov/show/NCT02369848"
21,"NCT03023488","Effects of Flexible Ureteroscopy on Renal Blood Flow",,"Completed","Has Results","Circulatory; Change","Procedure: flexible ureteroscopy|Device: Doppler Ultrasound examination|Device: laser lithotripsy","Peak Systolic Velocities (PSV) Measurement by Renal Doppler Ultrasound (US) Examination Evaluating the Effects of Flexible Ureteroscopy (F-URS) on Renal Blood Flow by Demonstrating the Change Between the Pre-operative and Post-operative Parameters.|End Diastolic Velocities (EDV) Measurement by Renal Doppler Ultrasound (US) Examination Evaluating the Effects of Flexible Ureteroscopy (F-URS) on Renal Blood Flow by Demonstrating the Change Between the Pre-operative and Post-operative Parameters.|Resistive Index (RI) Calculation by Renal Doppler Ultrasound (US) Examination Evaluating the Effects of Flexible Ureteroscopy (F-URS) on Renal Blood Flow by Demonstrating the Change Between the Pre-operative and Post-operative Parameters.|Pulsatility Index (PI) Calculation by Renal Doppler Ultrasound (US) Examination Evaluating the Effects of Flexible Ureteroscopy (F-URS) on Renal Blood Flow by Demonstrating the Change Between the Pre-operative and Post-operative Parameters.|Technical Details - Size of Ureteral Access Sheath|Technical Details - Name of Flexible Ureteroscope|Duration of the Flexible Ureteroscopy Operation|Operative Characteristics - Irrigation Pressure|Operative Characteristics - Intraoperative Complications|Post-Operative Characteristics - Complications","Marmara University","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","46","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","MAR.UAD.002|09.2016.181","February 2016","October 2016","December 2016","January 18, 2017","May 18, 2017","July 6, 2018",,,"https://ClinicalTrials.gov/show/NCT03023488"
22,"NCT03430245","VelaShape III & UltraShape Power for Thigh Circumference Reduction",,"Completed","Has Results","Circumference Reduction","Device: VelaShape III|Device: UltraShape Power","Circumference Change in the Thighs at the 12-week Follow-up Compared to Baseline Measurements|Change in the Thighs Circumference at Each Treatment Visit Post Baseline and at The 4 and 8 Week Follow-up Visits|Investigator Satisfaction|Subject Satisfaction","Syneron Medical","All","18 Years to 60 Years   (Adult)","Not Applicable","16","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","DHF24451","February 19, 2018","May 30, 2019","July 3, 2019","February 12, 2018","December 26, 2019","January 9, 2020","Skin Laser & Surgery Specialist of NY/NJ, Hackensack, New Jersey, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/45/NCT03430245/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03430245"
